customerName,orderNumber,orderDate
"Alpha Cognac",10136,2003-07-04
"Alpha Cognac",10178,2003-11-08
"Alpha Cognac",10397,2005-03-28
"American Souvenirs Inc",NULL,NULL
"Amica Models & Co.",10280,2004-08-17
"Amica Models & Co.",10293,2004-09-09
"ANG Resellers",NULL,NULL
"Anna's Decorations, Ltd",10148,2003-09-11
"Anna's Decorations, Ltd",10169,2003-11-04
"Anna's Decorations, Ltd",10370,2005-01-20
"Anna's Decorations, Ltd",10391,2005-03-09
"Anton Designs, Ltd.",NULL,NULL
"Asian Shopping Network, Co",NULL,NULL
"Asian Treasures, Inc.",NULL,NULL
"Atelier graphique",10123,2003-05-20
"Atelier graphique",10298,2004-09-27
"Atelier graphique",10345,2004-11-25
"Australian Collectables, Ltd",10193,2003-11-21
"Australian Collectables, Ltd",10265,2004-07-02
"Australian Collectables, Ltd",10415,2005-05-09
"Australian Collectors, Co.",10120,2003-04-29
"Australian Collectors, Co.",10125,2003-05-21
"Australian Collectors, Co.",10223,2004-02-20
"Australian Collectors, Co.",10342,2004-11-24
"Australian Collectors, Co.",10347,2004-11-29
"Australian Gift Network, Co",10152,2003-09-25
"Australian Gift Network, Co",10174,2003-11-06
"Australian Gift Network, Co",10374,2005-02-02
"Auto Associés & Cie.",10216,2004-02-02
"Auto Associés & Cie.",10304,2004-10-11
"Auto Canal+ Petit",10211,2004-01-15
"Auto Canal+ Petit",10252,2004-05-26
"Auto Canal+ Petit",10402,2005-04-07
"Auto-Moto Classics Inc.",10130,2003-06-16
"Auto-Moto Classics Inc.",10290,2004-09-07
"Auto-Moto Classics Inc.",10352,2004-12-03
"AV Stores, Co.",10110,2003-03-18
"AV Stores, Co.",10306,2004-10-14
"AV Stores, Co.",10332,2004-11-17
"Baane Mini Imports",10103,2003-01-29
"Baane Mini Imports",10158,2003-10-10
"Baane Mini Imports",10309,2004-10-15
"Baane Mini Imports",10325,2004-11-05
"Bavarian Collectables Imports, Co.",10296,2004-09-15
"BG&E Collectables",NULL,NULL
"Blauer See Auto, Co.",10101,2003-01-09
"Blauer See Auto, Co.",10230,2004-03-15
"Blauer See Auto, Co.",10300,2003-10-04
"Blauer See Auto, Co.",10323,2004-11-05
"Boards & Toys Co.",10154,2003-10-02
"Boards & Toys Co.",10376,2005-02-08
"CAF Imports",10177,2003-11-07
"CAF Imports",10231,2004-03-19
"Cambridge Collectables Co.",10228,2004-03-10
"Cambridge Collectables Co.",10249,2004-05-08
"Canadian Gift Exchange Network",10206,2003-12-05
"Canadian Gift Exchange Network",10313,2004-10-22
"Classic Gift Ideas, Inc",10183,2003-11-13
"Classic Gift Ideas, Inc",10307,2004-10-14
"Classic Legends Inc.",10115,2003-04-04
"Classic Legends Inc.",10163,2003-10-20
"Classic Legends Inc.",10337,2004-11-21
"Clover Collections, Co.",10220,2004-02-12
"Clover Collections, Co.",10297,2004-09-16
"Collectable Mini Designs Co.",10222,2004-02-19
"Collectable Mini Designs Co.",10226,2004-02-26
"Collectables For Less Inc.",10147,2003-09-05
"Collectables For Less Inc.",10274,2004-07-21
"Collectables For Less Inc.",10369,2005-01-20
"Corporate Gift Ideas Co.",10159,2003-10-10
"Corporate Gift Ideas Co.",10162,2003-10-18
"Corporate Gift Ideas Co.",10381,2005-02-17
"Corporate Gift Ideas Co.",10384,2005-02-23
"Corrida Auto Replicas, Ltd",10126,2003-05-28
"Corrida Auto Replicas, Ltd",10214,2004-01-26
"Corrida Auto Replicas, Ltd",10348,2004-11-01
"Cramer Spezialitäten, Ltd",NULL,NULL
"Cruz & Sons Co.",10108,2003-03-03
"Cruz & Sons Co.",10198,2003-11-27
"Cruz & Sons Co.",10330,2004-11-16
"Daedalus Designs Imports",10180,2003-11-11
"Daedalus Designs Imports",10224,2004-02-21
"Danish Wholesale Imports",10105,2003-02-11
"Danish Wholesale Imports",10238,2004-04-09
"Danish Wholesale Imports",10256,2004-06-08
"Danish Wholesale Imports",10327,2004-11-10
"Danish Wholesale Imports",10406,2005-04-15
"Der Hund Imports",NULL,NULL
"Diecast Classics Inc.",10272,2004-07-20
"Diecast Classics Inc.",10281,2004-08-19
"Diecast Classics Inc.",10318,2004-11-02
"Diecast Classics Inc.",10422,2005-05-30
"Diecast Collectables",10207,2003-12-09
"Diecast Collectables",10243,2004-04-26
"Double Decker Gift Stores, Ltd",10186,2003-11-14
"Double Decker Gift Stores, Ltd",10213,2004-01-22
"Down Under Souveniers, Inc",10132,2003-06-25
"Down Under Souveniers, Inc",10254,2004-06-03
"Down Under Souveniers, Inc",10354,2004-12-04
"Down Under Souveniers, Inc",10393,2005-03-11
"Down Under Souveniers, Inc",10404,2005-04-08
"Dragon Souveniers, Ltd.",10117,2003-04-16
"Dragon Souveniers, Ltd.",10150,2003-09-19
"Dragon Souveniers, Ltd.",10165,2003-10-22
"Dragon Souveniers, Ltd.",10277,2004-08-04
"Dragon Souveniers, Ltd.",10387,2005-03-02
"Enaco Distributors",10118,2003-04-21
"Enaco Distributors",10197,2003-11-26
"Enaco Distributors",10340,2004-11-24
"Euro+ Shopping Channel",10104,2003-01-31
"Euro+ Shopping Channel",10128,2003-06-06
"Euro+ Shopping Channel",10133,2003-06-27
"Euro+ Shopping Channel",10153,2003-09-28
"Euro+ Shopping Channel",10156,2003-10-08
